Product Name,Code,Department,BP,SP,WP,TRANSCOUNTY_MAIN,TRANSCOUNTY_ANNEX,PEAKFARM,TOTAL_STOCK
Tacrolimus_Talimus Oint 0.1 Percent 10g ,DERMATOLOGICAL,AGROVET,1000.0,1350.0,1150.0,-1,0,0,-1
Taktik,ACCARICIDE,AGROVET,64.0,100.0,80.0,-1,0,0,-1
Tegretol 2 percent  Syrup 150ml,ANTIPSYCHOTICs,AGROVET,980.11,1300.0,1130.0,-1,0,0,-1
Terrexine 10mg,-,AGROVET,215.0,270.0,250.0,-1,0,0,-1
Tetracycline skin,ANTIBIOTICS,AGROVET,20.0,100.0,80.0,-1,0,1,0
Tiffer 100ml,INSECTCIDES,AGROVET,200.0,300.0,250.0,-1,0,12,11
Tiffer 50ml,INSECTCIDES,AGROVET,120.0,200.0,160.0,-1,0,1,0
Tihan 50ml,INSECTICIDES,AGROVET,500.0,650.0,600.0,-1,0,0,-1
Tikdip 100ml,ACCARICIDE,AGROVET,358.0,470.0,470.0,-1,0,3,2
Tikdip 20ml,ACCARICIDE,AGROVET,97.0,150.0,150.0,-1,0,0,-1
Tikdip 40ml,ACCARICIDE,AGROVET,180.0,250.0,250.0,-1,0,3,2
Tixfix 100ml,ACCARICIDE,AGROVET,186.0,250.0,250.0,-1,0,4,3
Tixfix 20ML,ACCARICIDE,AGROVET,85.0,150.0,150.0,-1,0,0,-1
Tixfix 40ml,ACCARICIDE,AGROVET,115.0,200.0,200.0,-1,0,0,-1
Triatix 100ml,ACCARICIDE,AGROVET,270.0,359.1,310.5,-1,0,0,-1
Triatix 20ml,ACCARICIDE,AGROVET,100.0,150.0,120.0,-1,0,0,-1
Triatix 250ml,ACCARICIDE,AGROVET,450.0,598.5,517.5,-1,0,0,-1
Triatix 40ml,ACCARICIDE,AGROVET,126.0,170.0,122.0,-1,0,0,-1
Tricure 135ml,-,AGROVET,170.0,220.0,200.0,-1,0,0,-1
Tricure Gold 1LT,-,AGROVET,850.0,1050.0,1050.0,-1,0,0,-1
Tricure Gold 500ml,-,AGROVET,480.0,600.0,500.0,-1,0,0,-1
Trilick 1kg,-,AGROVET,325.0,380.0,350.0,-1,0,0,-1
Trimovet 30g,-,AGROVET,80.0,180.0,120.0,-1,0,0,-1
Trust Classic,CONDOM,AGROVET,25.0,33.25,28.75,-1,0,0,-1
Trust Extra,CONDOM,AGROVET,20.0,60.0,60.0,-1,0,0,-1
Trust Studded,-,AGROVET,35.0,70.0,70.0,-1,0,0,-1
Twigalick Maziwa 1KG,SUPPLEMENT,AGROVET,145.0,200.0,170.0,-1,0,0,-1
Twigalick Maziwa 2KG,SUPPLEMENT,AGROVET,250.0,350.0,260.0,-1,0,0,-1
Twigalick Maziwa 5KG,SUPPLEMENT,AGROVET,550.0,650.0,650.0,-1,0,0,-1
Twigamec 100ml,ACCARICIDE,AGROVET,258.0,450.0,350.0,-1,0,0,-1
Twigamec 10ml,ACCARICIDE,AGROVET,40.0,120.0,100.0,-1,0,0,-1
Twigamec 50ml,ACCARICIDE,AGROVET,145.0,250.0,200.0,-1,0,0,-1
Twigamectine 50ml,ACCARICIDE,AGROVET,247.0,350.0,350.0,-1,0,0,-1
Twigatraz 40ml,ACCARICIDE,AGROVET,93.0,150.0,95.0,-1,0,0,-1
Tylodoxy 100g,ANTIBIOTICS,AGROVET,405.0,560.0,500.0,-1,0,1,0
Tylodoxy 25g,ANTIBIOTICS,AGROVET,115.0,150.0,130.0,-1,0,0,-1
Tylosin-Bilosin 100ml,ANTIBIOTICS,AGROVET,408.0,500.0,445.0,-1,0,0,-1
Tylosin-Bilosin 50ml,ANTIBIOTICS,AGROVET,240.0,300.0,270.0,-1,0,0,-1
Ultramix Joto 1kgs,MINERALS,AGROVET,135.0,250.0,200.0,-1,0,0,-1
Ultramix Maziwa 1kgs,MINERALS,AGROVET,165.0,250.0,250.0,-1,0,1,0
Ultramix Maziwa 2kgs,MINERALS,AGROVET,305.0,420.0,420.0,-1,0,0,-1
Ultramix Ndama 1kg,MINERALS,AGROVET,121.0,250.0,200.0,-1,0,0,-1
Unga Adv Finisher Pellets 50kg,FEEDS,AGROVET,4045.0,4500.0,4150.0,-1,0,0,-1
Unga FastGrow Broiler Finisher Pellets 10kg ,FEEDS,AGROVET,782.0,1000.0,1000.0,-1,0,0,-1
Unga FastGrow Broiler Finisher Pellets 25kg ,FEEDS,AGROVET,1950.0,2600.0,2600.0,-1,0,0,-1
Unga FastGrow Broiler Finisher Pellets 50kg ,FEEDS,AGROVET,4160.0,5200.0,5200.0,-1,0,0,-1
